filename ,Poids_max,Valeurs_glouton,Valeur_recuit,Poids_glouton,Poids_recuit
data/items.txt,10.0,124.0,248.0,8.0,9.7
data/items.txt,15.0,242.0,272.0,12.700000000000001,14.7
data/items.txt,20.0,242.0,272.0,12.700000000000001,14.7
data/items.txt,25.0,20.0,446.0,10.0,19.2
data/items.txt,30.0,20.0,470.0,10.0,24.199999999999996
data/items.txt,35.0,20.0,470.0,10.0,24.199999999999996
data/items.txt,40.0,20.0,470.0,10.0,24.199999999999996
data/items.txt,45.0,20.0,470.0,10.0,24.199999999999996
data/itemsEval-float.txt,10.0,1000.0,429.0,10.0,10.0
data/itemsEval-float.txt,15.0,1235.0,1330.0,15.0,15.0
data/itemsEval-float.txt,20.0,1200.0,1429.0,12.0,20.0
data/itemsEval-float.txt,25.0,1412.0,1492.0,23.0,25.0
data/itemsEval-float.txt,30.0,1470.0,1494.0,25.0,26.0
data/itemsEval-float.txt,35.0,1592.0,1592.0,35.0,35.0
data/itemsEval-float.txt,40.0,1594.0,1594.0,36.0,36.0
data/itemsEval-float.txt,45.0,1594.0,1594.0,36.0,36.0
data/test.txt,10.0,1000.0,429.0,10.0,10.0
data/test.txt,15.0,1235.0,1330.0,15.0,15.0
data/test.txt,20.0,1200.0,1429.0,12.0,20.0
data/test.txt,25.0,1412.0,1492.0,23.0,25.0
data/test.txt,30.0,1470.0,1494.0,25.0,26.0
data/test.txt,35.0,1592.0,1592.0,35.0,35.0
data/test.txt,40.0,1594.0,1594.0,36.0,36.0
data/test.txt,45.0,1594.0,1594.0,36.0,36.0
data/itemsEval.txt,10.0,1000.0,429.0,10.0,10.0
data/itemsEval.txt,15.0,1235.0,1330.0,15.0,15.0
data/itemsEval.txt,20.0,1200.0,1429.0,12.0,20.0
data/itemsEval.txt,25.0,1412.0,1492.0,23.0,25.0
data/itemsEval.txt,30.0,1470.0,1494.0,25.0,26.0
data/itemsEval.txt,35.0,1592.0,1592.0,35.0,35.0
data/itemsEval.txt,40.0,1594.0,1594.0,36.0,36.0
data/itemsEval.txt,45.0,1594.0,1594.0,36.0,36.0
